Employee_ID,Name,Age,Gender,Department,Job_Role,Salary,Experience_Years,Joining_Date,Education,Performance_Score,Attrition,Marital_Status,Work_Location,Promotion_Status
1,Employee_1,25,Male,IT Support,Helpdesk Engineer,127442,2,2022-09-02,High School,5,No,Single,Chennai,Promoted
2,Employee_2,30,Female,HR,HR Executive,120971,4,2020-05-15,Master's,4,No,Married,Pune,Promoted
3,Employee_3,48,Male,Operations,Logistics Coordinator,123126,11,2015-05-17,Bachelor's,3,Yes,Single,Chennai,Not Promoted
4,Employee_4,56,Other,HR,HR Executive,55480,1,2020-06-18,PhD,1,No,Single,Delhi,Not Promoted
5,Employee_5,60,Male,Engineering,Senior Developer,51468,37,2015-03-02,Bachelor's,3,No,Divorced,Chennai,Promoted
6,Employee_6,53,Female,Sales,Sales Executive,139060,30,2018-01-04,PhD,3,No,Divorced,Mumbai,Promoted
7,Employee_7,58,Female,HR,HR Manager,117151,22,2022-07-13,Master's,3,No,Divorced,Bangalore,Not Promoted
8,Employee_8,56,Other,HR,HR Manager,113449,24,2013-12-20,PhD,4,No,Single,Delhi,Not Promoted
9,Employee_9,47,Male,HR,HR Manager,77427,7,2014-08-23,Bachelor's,3,No,Married,Pune,Not Promoted
10,Employee_10,60,Other,Engineering,Software Engineer,111203,21,2019-05-14,Master's,5,No,Single,Bangalore,Not Promoted
11,Employee_11,56,Other,Finance,Accountant,136100,34,2015-11-14,PhD,5,No,Married,Hyderabad,Promoted
12,Employee_12,27,Other,Operations,Logistics Coordinator,105167,3,2020-04-27,High School,2,No,Divorced,Pune,Promoted
13,Employee_13,38,Male,IT Support,Helpdesk Engineer,62356,1,2021-08-18,PhD,4,No,Single,Chennai,Not Promoted
14,Employee_14,31,Other,Marketing,Marketing Specialist,105199,5,2019-03-26,Bachelor's,1,No,Single,Bangalore,Promoted
15,Employee_15,22,Female,Operations,Logistics Coordinator,75411,0,2018-10-07,Master's,5,No,Divorced,Mumbai,Not Promoted
16,Employee_16,38,Female,Sales,Sales Executive,101662,2,2020-08-19,PhD,4,No,Married,Delhi,Promoted
17,Employee_17,50,Other,Finance,Financial Analyst,61876,8,2018-09-29,High School,2,No,Divorced,Mumbai,Not Promoted
18,Employee_18,49,Female,Finance,Accountant,112828,22,2014-05-27,High School,4,No,Single,Hyderabad,Promoted
19,Employee_19,34,Other,HR,HR Executive,62194,4,2018-10-07,PhD,1,No,Single,Delhi,Not Promoted
20,Employee_20,32,Other,Finance,Accountant,119816,6,2018-01-26,High School,1,No,Single,Mumbai,Not Promoted
21,Employee_21,55,Other,Operations,Operations Executive,46785,1,2012-09-04,Master's,1,No,Single,Bangalore,Not Promoted
22,Employee_22,34,Male,IT Support,Helpdesk Engineer,44702,7,2021-08-09,Master's,2,No,Single,Hyderabad,Promoted
23,Employee_23,26,Other,Operations,Operations Executive,146722,0,2021-04-01,Master's,2,Yes,Divorced,Delhi,Promoted
24,Employee_24,39,Male,Engineering,Software Engineer,89434,3,2021-11-26,Bachelor's,5,No,Single,Chennai,Promoted
25,Employee_25,51,Male,Marketing,SEO Analyst,103771,10,2014-08-10,PhD,4,No,Divorced,Hyderabad,Promoted
26,Employee_26,49,Male,Engineering,Senior Developer,103750,10,2019-12-04,PhD,4,Yes,Divorced,Chennai,Not Promoted
27,Employee_27,58,Male,HR,HR Executive,91732,36,2022-07-10,Master's,2,Yes,Divorced,Bangalore,Promoted
28,Employee_28,38,Female,Marketing,SEO Analyst,144457,0,2017-04-10,High School,5,No,Divorced,Pune,Not Promoted
29,Employee_29,38,Male,Engineering,Senior Developer,101547,3,2010-04-27,Bachelor's,3,Yes,Single,Delhi,Not Promoted
30,Employee_30,43,Male,Operations,Operations Executive,58065,21,2010-08-03,PhD,3,No,Divorced,Pune,Not Promoted
31,Employee_31,49,Other,Operations,Operations Executive,140993,10,2020-01-28,PhD,1,No,Single,Bangalore,Not Promoted
32,Employee_32,43,Female,Engineering,Software Engineer,73534,7,2019-12-27,PhD,4,No,Married,Bangalore,Not Promoted
33,Employee_33,31,Male,Operations,Operations Executive,128749,6,2016-12-09,Bachelor's,4,No,Single,Bangalore,Not Promoted
34,Employee_34,50,Male,IT Support,Helpdesk Engineer,133815,21,2019-03-12,Bachelor's,3,No,Single,Delhi,Not Promoted
35,Employee_35,28,Other,IT Support,Helpdesk Engineer,55485,5,2014-08-04,Bachelor's,3,No,Single,Bangalore,Not Promoted
